freewifi_name,freewifi_address,freewifi_latitude,freewifi_longitude,freewifi_status
MEL-0644,Flinders Street Station - Concourse,-37.818181,144.967332,UP
MEL-0671,Flagstaff Station - Ml Entrance,-37.811714,144.956102,UP
MEL-0677,Parliament Station - Entrance,-37.812179,144.973877,UP
MEL-0678,Parliament Station - Entrance,-37.811611,144.973025,UP
MEL-0679,Parliament Station - Entrance,-37.809415,144.972688,UP
MEL-0680,Parliament Station - Entrance,-37.809551,144.972315,UP
MEL-0714,Bourke St & Exhibition St,-37.811973,144.970387,UP
MEL-0715,Exhibition St,-37.812959,144.971049,UP
MEL-0716,Collins St,-37.816283,144.963417,UP
MEL-0725,120 Collins St,-37.814485,144.969561,UP
MEL-0727,265-275 Exhibition St,-37.80935,144.969195,UP
MEL-0728,159 Lonsdale Street,-37.810768,144.967855,UP
MEL-0729,Lonsdale St,-37.810437,144.968193,UP
MEL-0730,Russell St & Mackenzie Street,-37.807634,144.965902,UP
MEL-0733,La Trobe St,-37.810823,144.960006,UP
MEL-0734,Bourke St,-37.813161,144.967215,UP
MEL-0738,45 Exhibition St (Outside Collins Place),-37.814747,144.971896,UP
MEL-0739,102 Exhibition Street,-37.813594,144.971158,UP
MEL-0741,Queen St,-37.815791,144.960908,FUTURE
MEL-0747,Abeckett,-37.809425,144.960001,UP
MEL-0756,Market,-37.818512,144.962156,UP
MEL-0761,Lonsdale St,-37.812741,144.960298,UP
MEL-0762,Queen St,-37.810597,144.958536,UP
MEL-0765,42-44 Lonsdale Street,-37.809659,144.970915,UP
MEL-0766,Exhibition St,-37.811655,144.970239,UP
MEL-0790,562-566 Little Bourke St Melbourne Vic 3000,-37.815158,144.955702,UP
MEL-0800,Parliament Station - Ml_Platform 1 & 2,-37.8119503,144.9736839,UP
MEL-0811,"164 Bourke St, Melbourne Vic 3000",-37.8124967,144.968397,UP
MEL-0815,"99 Spring St, Melbourne",-37.812528,144.973335,UP
MEL-0823,"360 Little Bourke St, Melbourne",-37.81337,144.961967,UP
MEL-0826,"222 Bourke St,Melbourne",-37.81306,144.96655,UP
MEL-0830,"196 Lt Collins St, Melbourne (Ch1)",-37.8140587,144.9674619,UP
MEL-0842,"28-32 Southgate Ave, Southbank",-37.820801,144.96761,UP
MEL-0860,Queen Victoria Market-Queen St,-37.806358,144.958387,UP
MEL-0861,Queen Victoria Market-Queen St,-37.806949,144.958277,UP
MEL-0863,"196 Lt Collins St, Melbourne (Ch1)",-37.8141477,144.9671789,UP
MEL-0900,Melbourne Museum Plaza- Front Pole,-37.80364,144.970148,UP
MEL-0901,Melbourne Museum Plaza- Front Pole,-37.803741,144.970132,UP
MEL-0902,Melbourne Museum Plaza- Front Pole,-37.80379,144.970561,UP
MEL-0903,Melbourne Museum Plaza- Front Pole,-37.803843,144.97099,UP
MEL-0904,Melbourne Museum Plaza- Front Pole,-37.803887,144.971511,UP
MEL-0905,Melbourne Museum Plaza- Front Pole,-37.803919,144.971766,UP
MEL-0906,Melbourne Museum Plaza- Front Pole,-37.803962,144.972181,UP
MEL-0907,Melbourne Museum Plaza- Front Pole,-37.804008,144.972613,UP
MEL-0908,Melbourne Museum Plaza- Front Pole,-37.804068,144.973203,UP
MEL-0909,Melbourne Museum Plaza- Front Pole,-37.803968,144.973233,UP
MEL-1000,99  William St,-37.8169995,144.958664,UP
