monument_id,monument_type,monument_name,monument_address,monument_artist,monument_date,monument_author,monument_structure,monument_latitude,monument_longitude
MONUM-62,Art,Ceremony and Vehicle for Conveying Spirit,"114 Russell Street, MELBOURNE",Maurie Hughes,1996,City Of Melbourne,"Silicon bronze, galvanized and mild steel sculpture",-37.8136957980367,144.968513035861
MONUM-63,Art,Fairies Tree,"88 Clarendon Street, EAST MELBOURNE",Ola Cohn,1934,City Of Melbourne,Red Gum carving,-37.8134099807547,144.98110228888
MONUM-64,Art,Farnex Hercules,"90 St Kilda Road, SOUTHBANK",unknown,1780,City Of Melbourne,Marble bust with granite pedestal,-37.8211093204271,144.969673137809
MONUM-65,Art,Water Children,"Queen Victoria Gardens, St Kilda Road, MELBOURNE",John Edward Robinson,c. 1970,City Of Melbourne,Bronze sculpture,-37.8221241223436,144.970661980986
MONUM-66,Fountain,Mockridge Fountain,"City Square, Collins St, MELBOURNE","Ron Jones, Simon Perry and Darryl Cowie",c. 2000,City Of Melbourne,Concrete fountain,-37.8155224156707,144.966994359113
MONUM-67,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.820111630197,144.959404150284
MONUM-68,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8200614090425,144.959718171092
MONUM-69,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8200953335,144.959704036718
MONUM-70,Monument,General Charles Gordon Memorial,"74 Spring Street, EAST MELBOURNE",Sculptor Hamo Thornycroft; founder J. Moore,1887,City Of Melbourne,"Limestone, Harcourt granite and bronze memorial",-37.8127260372375,144.973942531552
MONUM-71,Art,Horse Hitching Post,"2 Spring Street, EAST MELBOURNE",unknown,c. 1900,City Of Melbourne,Stone post,-37.8150299769363,144.974931527616
MONUM-72,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8200830248455,144.959725218101
MONUM-73,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8201002457889,144.959733080966
MONUM-74,Art,Scar - A Stolen Vision,"Enterprize Park, MELBOURNE","Karen Casey, Craig Charles, Glenn Romanis, Maree Clarke, Ray Thomas, Ricardo Idagi and Treahna Hamm",2001,City of Melbourne,Wooden pier post and metal sculptures,-37.8200785738744,144.959627380846
MONUM-75,Monument,Pioneer Monument,"395 King Street, WEST MELBOURNE",Samuel Craven,1871,City Of Melbourne,Sandstone obelisk,-37.810801327848,144.953954497374
MONUM-76,Art,The Court Favourite,"394 William Street, MELBOURNE",Paul Montford,unknown,City Of Melbourne,Bronze statue with granite pedestal,-37.81026401562,144.955039032582
MONUM-77,Art,Signature Work,"22 Waterview Walk, DOCKLANDS",Emily Floyd,2004,VicUrban,Painted aluminium sculpture,-37.8192431329106,144.947246784778
MONUM-78,Monument,Eight Hour Day Memorial,"399 Russell Street, MELBOURNE",Percival Ball (?),1900-1903,City Of Melbourne,"Granite, bronze and gold-leaf monument with stone pedestal",-37.8071550195592,144.965588387005
MONUM-79,Art,Birrarung Wilam,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",2006,City of Melbourne,"Stone, wood, stainless steel, bronze, nickel and audio installation",-37.8185922758306,144.971796362269
MONUM-80,Art,Birrarung Wilam,"Birrarung Marr, MELBOURNE","Vicki Couzens, Lee Darroch and Treahna Hamm",2006,City of Melbourne,"Stone, wood, stainless steel, bronze, nickel and audio installation",-37.8185872210924,144.971784281509
MONUM-81,Art,Within Three Worlds,"684 Park Street, CARLTON NORTH",Loretta Quinn,1995,City Of Melbourne,Bronze sculpture,-37.7789311799623,144.961158146237
MONUM-82,Fountain,Stanford Fountain,"88 Spring Street, EAST MELBOURNE",William Stanford,c. 1870,City Of Melbourne,Bluestone fountain,-37.8124342889143,144.973955482708
MONUM-83,Fountain,Spray Lake,46 Nicholson Street,unknown,1965,City Of Melbourne,Steel and bluestone fountain,-37.8058096647951,144.972528813493
MONUM-84,Monument,Sir Thomas Blamey Memorial,"262 St Kilda Road, SOUTHBANK",Raymond B. Ewers,1960,City Of Melbourne,Bronze statue with granite pedestal,-37.8263011410214,144.972818912121
MONUM-85,Monument,William Ievers Senior Memorial Drinking Fountain,"155 Lygon Street, CARLTON",Charles Douglas Richardson,1915,City Of Melbourne,"Granite, marble and bluestone drinking fountain",-37.8028341939653,144.966385536842
MONUM-86,Art,Lynch's Bridge Mosaic Mural,"Epsom Road Underpass, KENSINGTON",Elizabeth MacKinnon,1998,City of Melbourne,Ceramic tile mural,-37.7902053576258,144.92393918587
MONUM-87,Art,Resting Place,"335 Swanston Street, MELBOURNE",Bronwyn Snow,1994,City Of Melbourne,Steel and jarrah seat,-37.8103720817164,144.964076502567
MONUM-88,Fountain,Bali Memorial,"Lincoln Square, Swanston Street, CARLTON",Unknown,2003,City of Melbourne,"Granite, concrete and stainless steel",-37.8024246248361,144.963256124373
MONUM-89,Fountain,Bali Memorial,"Lincoln Square, Swanston Street, CARLTON",Unknown,2003,City of Melbourne,"Granite, concrete and stainless steel",-37.8024840905196,144.963242826387
MONUM-90,Art,"Another View, Site 1","152 Spring Street, EAST MELBOURNE",Ray Thomas,1994,City Of Melbourne,Red granite and brass paving inlay,-37.8112942929369,144.973168986334
MONUM-91,Art,"A History Apparatus - Vessel, Craft & Beacon","147 Russell Street, MELBOURNE",Chris Reynolds,1993,City Of Melbourne,"Steel and fibreglass sculpture on bitumen, concrete and bluestone foundation",-37.8130493620338,144.968210969062
MONUM-92,Art,Apollo Belvedere,"90 St Kilda Road, SOUTHBANK",unknown,unknown,City Of Melbourne,Marble and granite bust,-37.8210593434182,144.969757432433
MONUM-93,Art,"Another View, Site 17","154 Collins Street, MELBOURNE",Ray Thomas,1994-1995,City Of Melbourne,Bluestone paver with brass inlay,-37.8148051249324,144.968381003481
MONUM-94,Art,"Another View, Site 8","422 Flinders Street, MELBOURNE",Ray Thomas,1994,City Of Melbourne,Stone and brass paving inlay,-37.8194133196692,144.960198717453
MONUM-95,Art,Anchor,"760 Bourke Street, DOCKLANDS",Neil Dawson,2005,VicUrban,Decorative rope work,-37.8182323264616,144.947444643152
MONUM-96,Art,Aurora,"96 Harbour Esplanade, DOCKLANDS",Geoffrey Bartlett,2005,VicUrban,Stainless steel,-37.8186937927645,144.946856332947
MONUM-97,Art,Aqualung,"15 Victoria Harbour Promenade, DOCKLANDS",John Mead,2006,VicUrban,Abstract sculpture,-37.8188433297473,144.945067618085
MONUM-98,Art,Australia Today and Tomorrow,"152 Clarendon Street, EAST MELBOURNE",Karl Duldig,1970,City Of Melbourne,Bronze sculpture,-37.8118220481066,144.982657048965
MONUM-99,Art,Architectural Fragment,"324 Swanston Street, MELBOURNE",Petrus Spronk,1992,City Of Melbourne,Bluestone sculpture,-37.8098275629139,144.96404608881
MONUM-100,Monument,Australian Hellenic War Memorial,"Kings Domain, Birdwood Ave, MELBOURNE",Evangelos Sakaris; RBA Architects and Conservation Consultants,2001,City of Melbourne,Granite and basalt memorial,-37.8272124550956,144.972973880253
MONUM-101,Monument,William Ievers Junior Memorial Drinking Fountain,"80 Rathdowne Street, CARLTON",Charles Douglas Richardson,1916,City Of Melbourne,"Granite, marble and bluestone drinking fountain",-37.7982578658973,144.970564664826
MONUM-102,Art,Reed Vessel,"67 Harbour Esplanade, DOCKLANDS",Virginia King,2002,VicUrban,Sculpture,-37.8202323424168,144.946325127609
MONUM-103,Monument,South African War Memorial,"254 St Kilda Road, SOUTHBANK",Architect - G. De Lacy-Evans Sculptor - Joseph Hamilton,1904,City Of Melbourne,Sandstone and bluestone sculpture,-37.8259414951225,144.971856818756
MONUM-104,Monument,Burke and Wills Monument,"84 Swanston Street, MELBOURNE",Charles Summers,1865,City Of Melbourne,Bronze statue with granite pedestal,-37.8156337321238,144.966703993713
MONUM-105,Monument,Burke and Wills Cairn,"6 The Avenue, PARKVILLE",unknown,1890,City Of Melbourne,Stone cairn,-37.7889280817664,144.956058081184
MONUM-106,Art,Peter Pan,"Melbourne Zoological Gardens, Elliott Avenue, PARKVILLE",Paul Montford,1925,City Of Melbourne,Bronze statue,-37.784773009033,144.95236482558
MONUM-107,Art,Federation Bells,"Birrarung Marr, MELBOURNE",Designers Neil McLachlan and Anton Hasell,2002,City of Melbourne,Bronze-alloy bells on galvanised-steel poles,-37.8186610069437,144.97413082954
MONUM-108,Fountain,Exhibition Fountain,"9 Nicholson Street, CARLTON",Josef Hochgurtel,1880,City Of Melbourne,Portland cement fountain,-37.805456726498,144.971368298725
MONUM-109,Art,Wind Contrivance,"64 Therry Street, MELBOURNE",Pauline Fraser,1995,City Of Melbourne,"Bronze, Red Gum and Harcourt granite sculpture",-37.8072519167223,144.959230533317
MONUM-110,Fountain,River God Fountain,"304 Albert Street, EAST MELBOURNE",Charles Summers,1862,City Of Melbourne,Stone and cement fountain,-37.8104167138709,144.980882423414
MONUM-111,Art,Reynold's Reserve Drinking Fountain,"Princes Park, Royal Parade, CARLTON NORTH",unknown,c. 1935,City Of Melbourne,Red-granite and brick drinking fountain,-37.7836612081103,144.960004054347
MONUM-112,Monument,Captain Matthew Flinders Statue,"30 Swanston Street, MELBOURNE",Sculptor Charles Web Gilbert; founder F. Barbedienne,1923,City Of Melbourne,Bronze statue with granite plinth,-37.8169633123315,144.967487606224
